Action Entropy,Policy Type,Potential,Collision Likelihood,Reach Reduction,Trial_ID
0.3,Local Feedback,0.00018800678551671914,0.9200957906150968,0.06606923587754983,18
0.3,Global Optimal,0.00407555089778589,0.2519810983253399,0.7436724589862498,19
0.3,Local Feedback,0.0002661584398208265,0.9357545391239671,0.0485663671944397,19
0.3,Global Optimal,0.002572975497523941,0.07623153588382059,0.9041935618751802,20
0.3,Local Feedback,0.0007436793770835792,0.7200512159674057,0.2613433767657013,20
0.3,Global Optimal,0.013393246499402899,0.039199587193599505,0.9999999999999998,21
0.3,Local Feedback,0.01238722984164131,0.07511372674328343,0.9248862732567165,21
0.3,Global Optimal,0.005480303658604688,0.033746029270490974,1.0000000000000002,22
0.3,Local Feedback,0.005271985293145116,0.038012193928795734,0.961987806071204,22
0.3,Global Optimal,0.00407555089778589,0.2519810983253399,0.7436724589862498,23
0.3,Local Feedback,0.0002661584398208265,0.9357545391239671,0.0485663671944397,23
0.3,Global Optimal,0.025273129506499462,0.04437848799123301,1.0,24
0.3,Local Feedback,0.02243319692159054,0.1123696447714786,0.8876303552285213,24
0.3,Global Optimal,0.006954332943848125,0.03869792011043405,1.0,25
0.3,Local Feedback,0.006316654485856252,0.09169512922960799,0.908304870770392,25
0.3,Global Optimal,0.005480303658604689,0.04460994993504641,1.0000000000000002,26
0.3,Local Feedback,0.005050261474656046,0.07847050286591828,0.9215294971340817,26
0.3,Global Optimal,0.013393246499402899,0.039199587193599505,0.9999999999999998,27
0.3,Local Feedback,0.01238722984164131,0.07511372674328343,0.9248862732567165,27
0.3,Global Optimal,0.002572975497523941,0.07623153588382059,0.9041935618751802,28
0.3,Local Feedback,0.0007436793770835792,0.7200512159674057,0.2613433767657013,28
0.3,Global Optimal,0.018528757368931423,0.27409470763696064,0.9303323602671111,29
0.3,Local Feedback,0.0003014268161029654,0.9827287455561656,0.015134696606426816,29
0.3,Global Optimal,0.013393246499402899,0.039199587193599505,0.9999999999999998,30
0.3,Local Feedback,0.01238722984164131,0.07511372674328343,0.9248862732567165,30
0.3,Global Optimal,0.018528757368931423,0.27409470763696064,0.9303323602671111,31
0.3,Local Feedback,0.0003014268161029654,0.9827287455561656,0.015134696606426816,31
0.3,Global Optimal,0.010341363022403413,0.06110986511573557,1.0,32
0.3,Local Feedback,0.007700979032406865,0.25532262858159505,0.744677371418405,32
0.3,Global Optimal,0.03696356452933419,0.22831975060684706,0.9835411105801978,33
0.3,Local Feedback,0.0028471649096199056,0.9239666437665656,0.07575848738803902,33
0.3,Global Optimal,0.018528757368931423,0.2732554464149979,0.9303323602671111,34
0.3,Local Feedback,0.0004280728833521003,0.9748717243914707,0.021493619243084447,34
0.3,Global Optimal,0.013393246499402897,0.03919477737699395,0.9999999999999999,35
0.3,Local Feedback,0.012351285830009181,0.07779746825686884,0.9222025317431312,35
0.3,Global Optimal,0.018528757368931423,0.27409470763696064,0.9303323602671111,36
0.3,Local Feedback,0.0003014268161029654,0.9827287455561656,0.015134696606426816,36
0.3,Global Optimal,0.00407555089778589,0.2519810983253399,0.7436724589862498,37
0.3,Local Feedback,0.0002661584398208265,0.9357545391239671,0.0485663671944397,37
0.3,Global Optimal,0.018528757368931423,0.27409470763696064,0.9303323602671111,38
0.3,Local Feedback,0.0003014268161029654,0.9827287455561656,0.015134696606426816,38
0.3,Global Optimal,0.0020577622084327445,0.250193221752399,0.7231376056730707,39
0.3,Local Feedback,0.00018800678551671914,0.9200957906150968,0.06606923587754983,39
0.3,Global Optimal,0.025273129506499462,0.04437848799123301,1.0,40
0.3,Local Feedback,0.02243319692159054,0.1123696447714786,0.8876303552285213,40
0.3,Global Optimal,0.006954332943848126,0.04612233134750632,0.9999999999999998,41
0.3,Local Feedback,0.006204285336134741,0.10785327849120074,0.8921467215087991,41
0.3,Global Optimal,0.006954332943848126,0.04612233134750632,0.9999999999999998,42
0.3,Local Feedback,0.006204285336134741,0.10785327849120074,0.8921467215087991,42
0.3,Global Optimal,0.013393246499402897,0.03919477737699395,0.9999999999999999,43
0.3,Local Feedback,0.012351285830009181,0.07779746825686884,0.9222025317431312,43
0.3,Global Optimal,0.005480303658604688,0.033746029270490974,1.0000000000000002,44
0.3,Local Feedback,0.005271985293145116,0.038012193928795734,0.961987806071204,44
0.3,Global Optimal,0.006954332943848125,0.03869792011043405,1.0,45
